Total:    16 | Class: 0 | [0,1,1,11,1,2,0] | Acc: 0.00 | Acc2: 0.00 | Time: 0.030
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 93.75 | Time: 0.029
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.028
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 81.25 | Time: 0.028
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.027
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.027
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.037
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.032
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.034
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 81.25 | Time: 0.032
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.030
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.035
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.033
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 81.25 | Time: 0.029
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.028
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.037
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.032
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 81.25 | Time: 0.031
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.036
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.034
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.034
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 93.75 | Time: 0.039
Total:    16 | Class: 0 | [16,0,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.031
Total:    16 | Class: 1 | [0,16,0,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.028
Total:    16 | Class: 2 | [0,0,16,0,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.030
Total:    16 | Class: 3 | [0,0,0,16,0,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.030
Total:    16 | Class: 4 | [0,0,0,0,16,0,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.035
Total:    16 | Class: 5 | [0,0,0,0,0,16,0] | Acc: 100.00 | Acc2: 100.00 | Time: 0.029
Total:    16 | Class: 6 | [0,0,0,0,0,0,16] | Acc: 100.00 | Acc2: 93.75 | Time: 0.029
